seed,t,T,algorithm,revenue,regret_cumulative,simple_regret,opt_joint_oracle,opt_indep_product_surrogate,gap_joint_minus_indep_product,a0,a1,a2,a3,a4,a5,recommendation_revenue,recommendation_simple_regret,recommendation_a0,recommendation_a1,recommendation_a2,recommendation_a3,recommendation_a4,recommendation_a5,played_revenue,played_simple_regret,played_regret_cumulative
0,1,50,DMS-X0-BPE,0.6413133339038585,2.958686666096142,2.958686666096142,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,0.5,0.25,1.0,0.0,0.75,0.75,0.6000000000000001,3.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.6413133339038585,2.958686666096142,2.958686666096142
0,1,50,Joint-DMS-GP-UCB,1.0270807050512036,2.5729192949487967,2.5729192949487967,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,0.0,0.25,0.75,0.5,0.0,0.5,1.0270807050512036,2.5729192949487967,0.0,0.25,0.75,0.5,0.0,0.5,1.0270807050512036,2.5729192949487967,2.5729192949487967
0,1,50,GP-UCB-Iso-Mat12,1.291536426922589,2.3084635730774115,2.3084635730774115,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,0.75,0.75,0.5,0.25,0.0,0.5,1.291536426922589,2.3084635730774115,0.75,0.75,0.5,0.25,0.0,0.5,1.291536426922589,2.3084635730774115,2.3084635730774115
0,1,50,BPE-Iso-Mat12,1.0771143363156195,2.522885663684381,2.522885663684381,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,1.0,0.75,0.75,0.0,0.5,1.0,1.0771143363156195,2.522885663684381,1.0,0.75,0.75,0.0,0.5,1.0,1.0771143363156195,2.522885663684381,2.522885663684381
0,1,50,HGP-UCB-CPP,0.1191784855841881,3.4808215144158123,3.4808215144158123,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,1.0,1.0,1.0,1.0,1.0,1.0,0.1191784855841881,3.4808215144158123,1.0,1.0,1.0,1.0,1.0,1.0,0.1191784855841881,3.4808215144158123,3.4808215144158123
0,1,50,BZ-ETC,0.26103353228276865,3.3389664677172317,3.3389664677172317,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,1.0,0.75,0.75,0.25,0.0,0.0,0.26103353228276865,3.3389664677172317,1.0,0.75,0.75,0.25,0.0,0.0,0.26103353228276865,3.3389664677172317,3.3389664677172317
0,1,50,SPSA,2.1173952118218686,1.482604788178132,1.482604788178132,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,0.5,0.5,0.5,0.5,0.5,0.5,2.1173952118218686,1.482604788178132,0.5,0.5,0.5,0.5,0.5,0.5,2.1173952118218686,1.482604788178132,1.482604788178132
0,1,50,Kleinberg,1.368967564209265,2.231032435790736,2.231032435790736,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,0.75,0.75,0.0,1.0,0.0,0.0,1.368967564209265,2.231032435790736,0.75,0.75,0.0,1.0,0.0,0.0,1.368967564209265,2.231032435790736,2.231032435790736
0,1,50,Univariate,0.8239132917642517,2.776086708235749,2.776086708235749,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,0.75,1.0,0.25,0.25,0.75,0.75,0.8239132917642517,2.776086708235749,0.75,1.0,0.25,0.25,0.75,0.75,0.8239132917642517,2.776086708235749,2.776086708235749
0,2,50,DMS-X0-BPE,2.21004796408104,4.348638702015102,1.3899520359189603,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,0.5,0.5,0.25,0.25,0.5,0.75,0.6000000000000001,3.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,2.21004796408104,1.3899520359189603,4.348638702015102
